,Nearest Neighbors,Linear SVM,RBF SVM,Gaussian Process,Decision Tree,Random Forest,Neural Net,AdaBoost,Naive Bayes,QDA,"NN-(300, 100)-relu-sigmoid-mean_squared_error","NN-(300, 100)-relu-softmax-crossentropy","NN-(500, 300)-relu-sigmoid-mean_squared_error","NN-(500, 300)-relu-softmax-crossentropy","NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error","NN-(500, 500, 2000)-relu-softmax-crossentropy"
Nearest Neighbors,0.0,0.06680111515788102,0.08680355122224513,0.0009280161047470854,0.49244451322854665,5.028349840918532e-06,0.05830699100144724,0.17693844068037035,0.05073649415287487,0.7285954930288275,0.24232154033755948,0.00023919182729255673,0.0732879720571575,0.00013104719262553246,0.026065993452231245,5.806184738505128e-05
Linear SVM,0.06680111515788102,0.0,0.0495472389474929,0.005769889487713442,0.36138967168222413,1.0565800119573129e-05,0.004899132115134108,0.6239136598133967,0.1909047531194692,0.4195928756774304,0.8505918650362156,0.0001346859690981628,0.6260806935438181,8.576055380364795e-05,0.2701465087269428,3.851131035111519e-05
RBF SVM,0.08680355122224513,0.0495472389474929,0.0,0.001418820011118715,0.4283431834865046,0.0015745705651046395,0.7686183974897491,0.07381630426594701,0.013342584723597993,0.226359897919863,0.07329240566298953,1.449324692375396e-05,0.00885744619914799,8.12467119872964e-06,0.003682501380469835,2.9533141155959608e-06
Gaussian Process,0.0009280161047470854,0.005769889487713442,0.001418820011118715,0.0,0.003509351719908419,1.233116412294001e-06,3.93927255507037e-05,0.0013464951037391586,0.006548290931648803,0.0005354766724369957,0.009108481108181287,0.30140492447693834,0.014251945372513494,0.3457288471833555,0.03903933762744146,0.37747390287229776
Decision Tree,0.49244451322854665,0.36138967168222413,0.4283431834865046,0.003509351719908419,0.0,1.140214479510659e-07,0.12570025976559823,0.06604218096583189,0.01611667629409606,0.6041450535362509,0.28751758176228515,0.00013110507470227446,0.16746501447786621,0.00010899962502505819,0.060347988574409914,5.807594588253319e-05
Random Forest,5.028349840918532e-06,1.0565800119573129e-05,0.0015745705651046395,1.233116412294001e-06,1.140214479510659e-07,0.0,0.0010899071816408772,0.00017495058558660543,1.0586367544154303e-06,5.398241087998347e-05,1.6686801078602769e-06,4.503005083235166e-07,2.25017396243989e-06,3.842337279418537e-07,9.077227416857797e-07,2.1935546683202923e-07
Neural Net,0.05830699100144724,0.004899132115134108,0.7686183974897491,3.93927255507037e-05,0.12570025976559823,0.0010899071816408772,0.0,0.05633758097338687,0.009256805642903739,0.165149825470029,0.01611667629409606,5.446724380158501e-05,0.004674061666795973,4.787741681221358e-05,0.0012119431826980518,1.5446644624899894e-05
AdaBoost,0.17693844068037035,0.6239136598133967,0.07381630426594701,0.0013464951037391586,0.06604218096583189,0.00017495058558660543,0.05633758097338687,0.0,0.5613548567503512,0.6027209353783443,0.36938070601347006,0.02606386962592963,0.4066758939722894,0.016115166161829734,0.8622606114090619,0.01307465571457191
Naive Bayes,0.05073649415287487,0.1909047531194692,0.013342584723597993,0.006548290931648803,0.01611667629409606,1.0586367544154303e-06,0.009256805642903739,0.5613548567503512,0.0,0.03750527442097385,0.22155608503784663,0.0327822703147601,0.36688405153475456,0.018978612425990766,0.8042121905358108,0.011504516970700915
QDA,0.7285954930288275,0.4195928756774304,0.226359897919863,0.0005354766724369957,0.6041450535362509,5.398241087998347e-05,0.165149825470029,0.6027209353783443,0.03750527442097385,0.0,0.5613548567503512,0.0026145693621177574,0.499316778287506,0.001837190927411557,0.2610434500912957,0.0010332471231352084
"NN-(300, 100)-relu-sigmoid-mean_squared_error",0.24232154033755948,0.8505918650362156,0.07329240566298953,0.009108481108181287,0.28751758176228515,1.6686801078602769e-06,0.01611667629409606,0.36938070601347006,0.22155608503784663,0.5613548567503512,0.0,0.00011117961035765981,0.05334929985462516,2.479947973163087e-05,0.00020036172733811248,2.423474996613319e-06
"NN-(300, 100)-relu-softmax-crossentropy",0.00023919182729255673,0.0001346859690981628,1.449324692375396e-05,0.30140492447693834,0.00013110507470227446,4.503005083235166e-07,5.446724380158501e-05,0.02606386962592963,0.0327822703147601,0.0026145693621177574,0.00011117961035765981,0.0,0.008858412574511943,0.17757812908875348,0.04244461369745927,0.003306789231116912
"NN-(500, 300)-relu-sigmoid-mean_squared_error",0.0732879720571575,0.6260806935438181,0.00885744619914799,0.014251945372513494,0.16746501447786621,2.25017396243989e-06,0.004674061666795973,0.4066758939722894,0.36688405153475456,0.499316778287506,0.05334929985462516,0.008858412574511943,0.0,0.000928172354749679,0.02682886777582616,2.3192838382566235e-05
"NN-(500, 300)-relu-softmax-crossentropy",0.00013104719262553246,8.576055380364795e-05,8.12467119872964e-06,0.3457288471833555,0.00010899962502505819,3.842337279418537e-07,4.787741681221358e-05,0.016115166161829734,0.018978612425990766,0.001837190927411557,2.479947973163087e-05,0.17757812908875348,0.000928172354749679,0.0,0.021409086173663782,0.021801738635254905
"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",0.026065993452231245,0.2701465087269428,0.003682501380469835,0.03903933762744146,0.060347988574409914,9.077227416857797e-07,0.0012119431826980518,0.8622606114090619,0.8042121905358108,0.2610434500912957,0.00020036172733811248,0.04244461369745927,0.02682886777582616,0.021409086173663782,0.0,0.002194208500426888
"NN-(500, 500, 2000)-relu-softmax-crossentropy",5.806184738505128e-05,3.851131035111519e-05,2.9533141155959608e-06,0.37747390287229776,5.807594588253319e-05,2.1935546683202923e-07,1.5446644624899894e-05,0.01307465571457191,0.011504516970700915,0.0010332471231352084,2.423474996613319e-06,0.003306789231116912,2.3192838382566235e-05,0.021801738635254905,0.002194208500426888,0.0
