Dataset;Classifier;Fit time;Test accuracy;Train accuracy
adult;Linear SVM;1.2043;0.5812;0.5812
adult;RBF SVM;123.868;0.7933;0.8230
adult;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;55.9782;0.8172;0.8011
adult;NN-(500, 500, 2000)-relu-softmax-crossentropy;44.5372;0.7592;0.7592
byzantine;NN-(500, 500, 2000)-relu-softmax-crossentropy;86.2204;0.9721;0.9085
fluid;Linear SVM;0.0119;0.9162;0.9646
fluid;Gaussian Process;36.4614;0.9213;0.9604
letter;NN-(500, 300)-relu-softmax-crossentropy;17.6531;0.5465;0.5584
letter;NN-(500, 500, 2000)-relu-softmax-crossentropy;153.1133;0.4474;0.5804
page;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;14.3046;0.9244;0.917
page;NN-(500, 500, 2000)-relu-softmax-crossentropy;14.3553;0.9386;0.932
pendigits;NN-(300, 100)-relu-sigmoid-mean_squared_error;2.8893;0.9148;0.7862
pendigits;NN-(300, 100)-relu-softmax-crossentropy;2.7217;0.9222;0.7855
pendigits;NN-(500, 300)-relu-sigmoid-mean_squared_error;7.1709;0.904;0.795
pendigits;NN-(500, 300)-relu-softmax-crossentropy;7.1976;0.9124;0.7966
pendigits;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;50.697;0.8804;0.7905
pendigits;NN-(500, 500, 2000)-relu-softmax-crossentropy;56.7336;0.8833;0.7976
triazines;Nearest Neighbors;0.6971;0.8805;0.9266
triazines;Linear SVM;202.3442;0.6384;0.6415
triazines;RBF SVM;250.6994;0.8474;0.8765
triazines;Neural Net;84.1616;0.9618;0.9791
triazines;NN-(300, 100)-relu-sigmoid-mean_squared_error;15.5778;0.8222;0.7713
triazines;NN-(500, 300)-relu-sigmoid-mean_squared_error;35.7229;0.8194;0.778
triazines;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;304.9767;0.8231;0.7823
triazines;NN-(500, 500, 2000)-relu-softmax-crossentropy;70.4441;0.5;0.5
vehicle;Gaussian Process;51.52;0.5934;0.9179
vowel;Gaussian Process;71.5514;0.7636;1.0
wav40;Gaussian Process;108.9603;0.767;1.0
yeast;Gaussian Process;183.7473;0.5417;0.6071
cube_3classes;Linear SVM;203.3218;0.4107;0.4107
cube_3classes;Gaussian Process;77.3767;0.4107;1.0
pole_noise_high;Gaussian Process;21.266;0.6841;0.6841
pole_noise_low;Gaussian Process;34.3182;0.7339;0.7339
pole_noise_medium;Gaussian Process;30.8802;0.7059;0.7035
pole_normalization;Gaussian Process;36.3159;0.7253;0.7292
sphere_3classes;Gaussian Process;20.9546;0.3459;1.0
