Dataset;Classifier;Fit time;Test accuracy;Train accuracy
adult;Nearest Neighbors;0.1884;0.7747;0.8329
adult;Linear SVM;300;0;0
adult;RBF SVM;300;0;0
adult;Gaussian Process;300;0;0
adult;Decision Tree;0.1439;0.8098;0.9998
adult;RBF SVM;104.8345;0.7933;0.823
adult;Random Forest;2.8883;0.8516;0.9998
adult;Neural Net;10.766;0.5653;0.5627
adult;AdaBoost;0.9625;0.86;0.8606
adult;Naive Bayes;0.0112;0.795;0.7948
adult;QDA;0.0393;0.8036;0.8037
adult;NN-(300, 100)-relu-sigmoid-mean_squared_error;7.4032;0.8256;0.8027
adult;NN-(300, 100)-relu-softmax-crossentropy;5.3683;0.7592;0.7592
adult;NN-(500, 300)-relu-sigmoid-mean_squared_error;12.9897;0.8243;0.8033
adult;NN-(500, 300)-relu-softmax-crossentropy;11.6942;0.7592;0.7592
adult;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;300;0;0
adult;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;67.113;0.8203;0.8028
adult;NN-(500, 500, 2000)-relu-softmax-crossentropy;45.9383;0.7592;0.7592
allbp;Nearest Neighbors;0.0151;0.9531;0.9615
allbp;Linear SVM;0.724;0.9568;0.9568
allbp;RBF SVM;0.2005;0.9563;0.9574
allbp;Gaussian Process;300;0;0
allbp;Decision Tree;0.0245;0.9732;1.0
allbp;Random Forest;0.7464;0.9735;1.0
allbp;Neural Net;52.8642;0.9621;0.9657
allbp;AdaBoost;0.4692;0.9525;0.9515
allbp;Naive Bayes;0.0095;0.2484;0.2581
allbp;QDA;0.2486;0.1204;0.1193
allbp;NN-(300, 100)-relu-sigmoid-mean_squared_error;4.4827;0.9645;0.9589
allbp;NN-(300, 100)-relu-softmax-crossentropy;5.5883;0.9647;0.9628
allbp;NN-(500, 300)-relu-sigmoid-mean_squared_error;6.4359;0.9639;0.96
allbp;NN-(500, 300)-relu-softmax-crossentropy;4.499;0.9634;0.9604
allbp;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;12.2262;0.9568;0.9568
allbp;NN-(500, 500, 2000)-relu-softmax-crossentropy;11.9458;0.9597;0.9601
ann;Nearest Neighbors;0.0538;0.9404;0.9487
ann;Linear SVM;0.4955;0.9258;0.9258
ann;RBF SVM;1.117;0.9274;0.9274
ann;Gaussian Process;300;0;0
ann;Decision Tree;0.0167;0.9928;1.0
ann;Random Forest;0.7044;0.9936;1.0
ann;Neural Net;300;0;0
ann;AdaBoost;1.4;0.9887;0.9918
ann;Naive Bayes;0.0058;0.0907;0.0923
ann;QDA;0.0839;0.4836;0.4704
ann;NN-(300, 100)-relu-sigmoid-mean_squared_error;10.0976;0.9568;0.9458
ann;NN-(300, 100)-relu-softmax-crossentropy;10.0053;0.959;0.9473
ann;NN-(500, 300)-relu-sigmoid-mean_squared_error;22.1779;0.9624;0.9467
ann;Neural Net;134.2456;0.9628;0.9664
ann;NN-(500, 300)-relu-softmax-crossentropy;15.1197;0.9575;0.9451
ann;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;39.9616;0.9313;0.9305
ann;NN-(500, 500, 2000)-relu-softmax-crossentropy;30.2199;0.9621;0.9484
australian;Nearest Neighbors;0.0008;0.6755;0.7652
australian;Linear SVM;0.8399;0.855;0.8554
australian;RBF SVM;0.021;0.6625;0.7544
australian;Gaussian Process;300;0;0
australian;Decision Tree;0.0036;0.8101;1.0
australian;Random Forest;0.5005;0.8507;1.0
australian;Neural Net;9.2126;0.8304;0.8764
australian;AdaBoost;0.2613;0.8551;0.908
australian;Naive Bayes;0.0021;0.8261;0.8366
australian;QDA;0.01;0.8361;0.8652
australian;NN-(300, 100)-relu-sigmoid-mean_squared_error;2.0093;0.8405;0.7793
australian;NN-(300, 100)-relu-softmax-crossentropy;1.4872;0.4449;0.4449
australian;NN-(500, 300)-relu-sigmoid-mean_squared_error;2.5135;0.8566;0.7761
australian;NN-(500, 300)-relu-softmax-crossentropy;2.6292;0.4449;0.4449
australian;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;7.929;0.8462;0.7833
australian;NN-(500, 500, 2000)-relu-softmax-crossentropy;4.8757;0.4449;0.4449
byzantine;Nearest Neighbors;0.2489;0.9779;0.9898
byzantine;Linear SVM;2.8823;0.9906;0.9998
byzantine;RBF SVM;300;0;0
australian;Gaussian Process;304.4235;0.7656;0.8391
byzantine;Gaussian Process;300;0;0
