Dataset;Classifier;Fit time;Test accuracy;Train accuracy
adult;Nearest Neighbors;2;0;0
adult;Linear SVM;2;0;0
adult;RBF SVM;2;0;0
adult;Gaussian Process;2;0;0
adult;Decision Tree;2;0;0
adult;Random Forest;2;0;0
adult;Neural Net;2;0;0
adult;AdaBoost;2;0;0
adult;Naive Bayes;2;0;0
adult;QDA;2;0;0
adult;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
adult;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
adult;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
adult;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
adult;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
adult;NN-(500, 500, 2000)-relu-softmax-categorical_crossentropy;2;0;0
allbp;Nearest Neighbors;2;0;0
allbp;Linear SVM;2;0;0
allbp;RBF SVM;2;0;0
allbp;Gaussian Process;2;0;0
allbp;Decision Tree;0.0086;0.974;1.0
allbp;Decision Tree;2;0;0
allbp;Random Forest;2;0;0
allbp;Neural Net;2;0;0
allbp;AdaBoost;2;0;0
allbp;Naive Bayes;0.0017;0.2484;0.2581
allbp;QDA;2;0;0
allbp;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
allbp;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
allbp;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
allbp;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
allbp;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
allbp;NN-(500, 500, 2000)-relu-softmax-categorical_crossentropy;2;0;0
ann;Nearest Neighbors;2;0;0
ann;Linear SVM;2;0;0
ann;RBF SVM;2;0;0
ann;Gaussian Process;2;0;0
ann;Decision Tree;2;0;0
ann;Random Forest;2;0;0
ann;Neural Net;2;0;0
ann;AdaBoost;2;0;0
ann;Naive Bayes;2;0;0
ann;QDA;2;0;0
ann;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
ann;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
ann;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
ann;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
ann;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
ann;NN-(500, 500, 2000)-relu-softmax-categorical_crossentropy;2;0;0
australian;Nearest Neighbors;0.0006;0.6755;0.7652
australian;Linear SVM;2;0;0
australian;RBF SVM;2;0;0
australian;Gaussian Process;2;0;0
australian;Decision Tree;0.0019;0.8175;1.0
australian;Random Forest;0.1036;0.8507;1.0
australian;Random Forest;2;0;0
australian;Neural Net;2;0;0
australian;AdaBoost;2;0;0
australian;Naive Bayes;2;0;0
australian;QDA;0.0008;0.8361;0.8652
australian;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
australian;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
australian;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
australian;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
australian;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
byzantine;Nearest Neighbors;2;0;0
byzantine;Linear SVM;2;0;0
byzantine;RBF SVM;2;0;0
byzantine;Gaussian Process;2;0;0
byzantine;Decision Tree;2;0;0
byzantine;Random Forest;2;0;0
byzantine;Neural Net;2;0;0
byzantine;AdaBoost;2;0;0
byzantine;Naive Bayes;2;0;0
byzantine;QDA;2;0;0
byzantine;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
byzantine;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
byzantine;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
byzantine;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
byzantine;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
byzantine;NN-(500, 500, 2000)-relu-softmax-categorical_crossentropy;2;0;0
diabetes;Nearest Neighbors;0.0004;0.7032;0.8021
diabetes;Linear SVM;2;0;0
diabetes;RBF SVM;0.0112;0.7226;0.8551
diabetes;Gaussian Process;2;0;0
diabetes;Decision Tree;2;0;0
diabetes;Random Forest;2;0;0
diabetes;Neural Net;0.1386;0.6536;0.6979
diabetes;Neural Net;2;0;0
diabetes;AdaBoost;2;0;0
diabetes;Naive Bayes;0.0005;0.767;0.7679
diabetes;QDA;0.0005;0.75;0.7669
diabetes;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
diabetes;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
diabetes;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
diabetes;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
fluid;Nearest Neighbors;0.0009;0.7259;0.8906
fluid;Linear SVM;2;0;0
fluid;RBF SVM;2;0;0
fluid;Gaussian Process;2;0;0
fluid;Decision Tree;0.0009;0.9075;1.0
fluid;Random Forest;0.093;0.9341;1.0
fluid;Neural Net;2;0;0
fluid;AdaBoost;0.0461;0.6155;0.6162
fluid;AdaBoost;2;0;0
fluid;Naive Bayes;0.0008;0.879;0.9093
fluid;QDA;0.0025;0.8997;0.9777
fluid;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
fluid;NN-(300, 100)-relu-softmax-categorical_crossentropy;2;0;0
fluid;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
fluid;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
fluid;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
fluid;NN-(500, 500, 2000)-relu-softmax-categorical_crossentropy;2;0;0
german_cont;Nearest Neighbors;0.0004;0.6675;0.7662
german_cont;Linear SVM;0.0117;0.7;0.7
german_cont;RBF SVM;2;0;0
german_cont;Gaussian Process;2;0;0
german_cont;Decision Tree;0.0025;0.6325;0.9959
german_cont;Random Forest;2;0;0
german_cont;Neural Net;2;0;0
german_cont;AdaBoost;2;0;0
german_cont;Naive Bayes;0.0009;0.715;0.7138
german_cont;Naive Bayes;2;0;0
german_cont;QDA;0.0005;0.7188;0.7275
german_cont;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
german_cont;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
german_cont;NN-(500, 300)-relu-softmax-categorical_crossentropy;2;0;0
german_cont;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
german_f;Nearest Neighbors;0.0006;0.6675;0.7662
german_f;Linear SVM;0.0129;0.7;0.7
german_f;RBF SVM;0.0129;0.7012;0.7472
german_f;Gaussian Process;2;0;0
german_f;Decision Tree;0.0013;0.6312;0.9959
german_f;Decision Tree;2;0;0
german_f;Random Forest;0.0825;0.705;0.9959
german_f;Neural Net;2;0;0
german_f;AdaBoost;2;0;0
german_f;Naive Bayes;0.0005;0.715;0.7138
german_f;Naive Bayes;2;0;0
german_f;QDA;0.0005;0.7188;0.7275
german_f;NN-(300, 100)-relu-sigmoid-mean_squared_error;2;0;0
german_f;NN-(500, 300)-relu-sigmoid-mean_squared_error;2;0;0
german_f;NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error;2;0;0
german_n;Nearest Neighbors;0.0007;0.7188;0.8109
german_n;Linear SVM;0.0191;0.7462;0.7644
german_n;RBF SVM;0.0156;0.7125;0.7641
